Model,Check,WeightBytes,FMBytes,Total,SM_Size,Verdict
YOLOv10n,Static,2292576,1228800,3521376,4194304,PASS
YOLOv10s,Static,7240032,1228800,8468832,4194304,FAIL
YOLOv10s,Peak_L0,7240032,4505600,10516832,4194304,FAIL
YOLOv10s,Peak_L1,7240032,4915200,10516832,4194304,FAIL
YOLOv10s,Peak_L2,7240032,3276800,8878432,4194304,FAIL
YOLOv10s,Peak_L3,7240032,1638400,8059232,4194304,FAIL
YOLOv10s,Peak_L4,7240032,1638400,8059232,4194304,FAIL
YOLOv10s,Peak_L5,7240032,4096000,9697632,4194304,FAIL
YOLOv10s,Peak_L6,7240032,2457600,8878432,4194304,FAIL
YOLOv10s,Peak_L7,7240032,1638400,8059232,4194304,FAIL
YOLOv10s,Peak_L8,7240032,819200,7649632,4194304,FAIL
YOLOv10s,Peak_L9,7240032,819200,7649632,4194304,FAIL
YOLOv10s,Peak_L10,7240032,819200,7649632,4194304,FAIL
YOLOv10s,Peak_L11,7240032,819200,7649632,4194304,FAIL
YOLOv10s,Peak_L12,7240032,2457600,8878432,4194304,FAIL
YOLOv10s,Peak_L13,7240032,2457600,8878432,4194304,FAIL
YOLOv10s,Peak_L14,7240032,2048000,8878432,4194304,FAIL
YOLOv10s,Peak_L15,7240032,819200,7649632,4194304,FAIL
YOLOv10s,Peak_L16,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L17,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L18,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L19,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L20,7240032,1228800,8059232,4194304,FAIL
YOLOv10s,Peak_L21,7240032,1228800,8059232,4194304,FAIL
YOLOv10s,Peak_L22,7240032,1024000,8059232,4194304,FAIL
YOLOv10s,Peak_L23,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L24,7240032,204800,7342432,4194304,FAIL
YOLOv10s,Peak_L25,7240032,307200,7444832,4194304,FAIL
YOLOv10s,Peak_L26,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L27,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L28,7240032,307200,7444832,4194304,FAIL
YOLOv10s,Peak_L29,7240032,204800,7342432,4194304,FAIL
YOLOv10s,Peak_L30,7240032,512000,7547232,4194304,FAIL
YOLOv10s,Peak_L31,7240032,307200,7444832,4194304,FAIL
YOLOv10s,Peak_L32,7240032,614400,7649632,4194304,FAIL
YOLOv10s,Peak_L33,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L34,7240032,307200,7444832,4194304,FAIL
YOLOv10s,Peak_L35,7240032,204800,7342432,4194304,FAIL
YOLOv10s,Peak_L36,7240032,204800,7342432,4194304,FAIL
YOLOv10s,Peak_L37,7240032,307200,7444832,4194304,FAIL
YOLOv10s,Peak_L38,7240032,307200,7444832,4194304,FAIL
YOLOv10s,Peak_L39,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L40,7240032,1638400,8468832,4194304,FAIL
YOLOv10s,Peak_L41,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L42,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L43,7240032,1024000,7854432,4194304,FAIL
YOLOv10s,Peak_L44,7240032,3276800,9697632,4194304,FAIL
YOLOv10s,Peak_L45,7240032,819200,7649632,4194304,FAIL
YOLOv10s,Peak_L46,7240032,819200,7649632,4194304,FAIL
YOLOv10s,Peak_L47,7240032,2048000,8468832,4194304,FAIL
YOLOv10s,Peak_L48,7240032,1024000,8059232,4194304,FAIL
YOLOv10s,Peak_L49,7240032,1024000,7854432,4194304,FAIL
YOLOv10s,Peak_L50,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L51,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L52,7240032,1024000,7854432,4194304,FAIL
YOLOv10s,Peak_L53,7240032,819200,7649632,4194304,FAIL
YOLOv10s,Peak_L54,7240032,512000,7649632,4194304,FAIL
YOLOv10s,Peak_L55,7240032,512000,7547232,4194304,FAIL
YOLOv10s,Peak_L56,7240032,204800,7342432,4194304,FAIL
YOLOv10s,Peak_L57,7240032,307200,7444832,4194304,FAIL
YOLOv10s,Peak_L58,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L59,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L60,7240032,307200,7444832,4194304,FAIL
YOLOv10s,Peak_L61,7240032,204800,7342432,4194304,FAIL
YOLOv10s,Peak_L62,7240032,512000,7547232,4194304,FAIL
YOLOv10s,Peak_L63,7240032,1228800,8059232,4194304,FAIL
YOLOv10s,Peak_L64,7240032,819200,7649632,4194304,FAIL
YOLOv10s,Peak_L65,7240032,819200,7649632,4194304,FAIL
YOLOv10s,Peak_L66,7240032,512000,7649632,4194304,FAIL
YOLOv10s,Peak_L67,7240032,204800,7342432,4194304,FAIL
YOLOv10s,Peak_L68,7240032,204800,7342432,4194304,FAIL
YOLOv10s,Peak_L69,7240032,230400,7444832,4194304,FAIL
YOLOv10s,Peak_L70,7240032,51200,7265632,4194304,FAIL
YOLOv10s,Peak_L71,7240032,51200,7265632,4194304,FAIL
YOLOv10s,Peak_L72,7240032,1638400,8059232,4194304,FAIL
YOLOv10s,Peak_L73,7240032,1638400,8059232,4194304,FAIL
YOLOv10s,Peak_L74,7240032,1638400,8059232,4194304,FAIL
YOLOv10s,Peak_L75,7240032,1638400,8059232,4194304,FAIL
YOLOv10s,Peak_L76,7240032,1331200,8059232,4194304,FAIL
YOLOv10s,Peak_L77,7240032,819200,7649632,4194304,FAIL
YOLOv10s,Peak_L78,7240032,614400,7649632,4194304,FAIL
YOLOv10s,Peak_L79,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L80,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L81,7240032,332800,7444832,4194304,FAIL
YOLOv10s,Peak_L82,7240032,409600,7444832,4194304,FAIL
YOLOv10s,Peak_L83,7240032,256000,7444832,4194304,FAIL
YOLOv10s,Peak_L84,7240032,102400,7291232,4194304,FAIL
YOLOv10s,Peak_L85,7240032,102400,7291232,4194304,FAIL
YOLOv10s,Peak_L86,7240032,83200,7291232,4194304,FAIL
